Master,Miss,Mr,Mrs,Officer,Royalty,Pclass_1,Pclass_2,Pclass_3,FamilySize,Family_Single,Family_Small,Family_Large,Fare,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_U,Embarked_C,Embarked_Q,Embarked_S,Sex
False,False,True,False,False,False,False,False,True,2,0,1,0,7.25,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,False,True,False,False,True,False,False,2,0,1,0,71.2833,False,False,True,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,True,1,1,0,0,7.925,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,True,False,False,2,0,1,0,53.1,False,False,True,False,False,False,False,False,False,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.4583,False,False,False,False,False,False,False,False,True,False,True,False,1
False,False,True,False,False,False,True,False,False,1,1,0,0,51.8625,False,False,False,False,True,False,False,False,False,False,False,True,1
True,False,False,False,False,False,False,False,True,5,0,0,1,21.075,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,False,True,False,False,False,False,True,3,0,1,0,11.1333,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,True,False,2,0,1,0,30.0708,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,False,False,False,False,True,3,0,1,0,16.7,False,False,False,False,False,False,True,False,False,False,False,True,0
False,True,False,False,False,False,True,False,False,1,1,0,0,26.55,False,False,True,False,False,False,False,False,False,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,7,0,0,1,31.275,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,7.8542,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,True,False,1,1,0,0,16.0,False,False,False,False,False,False,False,False,True,False,False,True,0
True,False,False,False,False,False,False,False,True,6,0,0,1,29.125,False,False,False,False,False,False,False,False,True,False,True,False,1
False,False,True,False,False,False,False,True,False,1,1,0,0,13.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,False,True,False,False,False,False,True,2,0,1,0,18.0,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,False,True,1,1,0,0,7.225,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,True,False,False,False,False,True,False,1,1,0,0,26.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,True,False,1,1,0,0,13.0,False,False,False,True,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,8.0292,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,True,False,False,1,1,0,0,35.5,True,False,False,False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,True,5,0,0,1,21.075,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,False,True,7,0,0,1,31.3875,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.225,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,True,False,False,False,True,False,False,6,0,0,1,263.0,False,False,True,False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,7.8792,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,False,False,False,True,True,False,False,1,1,0,0,27.7208,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,False,True,False,False,True,False,False,2,0,1,0,146.5208,False,True,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,True,1,1,0,0,7.75,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,False,True,False,1,1,0,0,10.5,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,2,0,1,0,82.1708,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,True,False,False,False,True,False,False,2,0,1,0,52.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.2292,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,3,0,1,0,18.0,False,False,False,False,False,False,False,False,True,False,False,True,0
False,True,False,False,False,False,False,False,True,2,0,1,0,11.2417,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,False,True,False,False,False,False,True,2,0,1,0,9.475,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,True,False,2,0,1,0,21.0,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,False,False,False,False,False,True,False,4,0,1,0,41.5792,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,False,False,False,False,True,1,1,0,0,7.8792,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,2,0,1,0,15.5,False,False,False,False,False,False,False,False,True,False,True,False,1
False,True,False,False,False,False,False,False,True,1,1,0,0,7.75,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,False,False,True,3,0,1,0,21.6792,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,False,True,False,False,False,False,True,2,0,1,0,17.8,False,False,False,False,False,False,False,False,True,False,False,True,0
True,False,False,False,False,False,False,False,True,6,0,0,1,39.6875,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,False,True,False,False,True,False,False,2,0,1,0,76.7292,False,False,False,True,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,True,False,2,0,1,0,26.0,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,True,False,False,2,0,1,0,61.9792,False,True,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,True,False,False,1,1,0,0,35.5,False,False,True,False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,True,False,1,1,0,0,10.5,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.2292,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,False,False,False,False,False,True,False,4,0,1,0,27.75,False,False,False,False,False,False,False,False,True,False,False,True,0
True,False,False,False,False,False,False,False,True,8,0,0,1,46.9,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.2292,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,False,False,False,False,True,False,False,1,1,0,0,80.0,False,True,False,False,False,False,False,False,False,False,False,True,0
False,False,True,False,False,False,True,False,False,2,0,1,0,83.475,False,False,True,False,False,False,False,False,False,False,False,True,1
True,False,False,False,False,False,False,False,True,6,0,0,1,27.9,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,1,1,0,0,27.7208,False,False,False,False,False,False,False,False,True,True,False,False,1
True,False,False,False,False,False,False,False,True,3,0,1,0,15.2458,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,False,True,False,False,False,True,False,1,1,0,0,10.5,False,False,False,False,False,True,False,False,False,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,8.1583,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,7,0,0,1,7.925,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,3,0,1,0,8.6625,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,True,False,1,1,0,0,10.5,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,8,0,0,1,46.9,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,True,False,1,1,0,0,73.5,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,2,0,1,0,14.4542,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,True,False,False,False,False,False,True,1,1,0,0,56.4958,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.65,False,False,False,False,False,True,False,False,False,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
True,False,False,False,False,False,False,True,False,3,0,1,0,29.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,12.475,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,9.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,9.5,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,7.7875,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,True,False,False,1,1,0,0,47.1,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,True,False,1,1,0,0,10.5,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,False,True,4,0,1,0,15.85,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,5,0,0,1,34.375,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,True,False,False,6,0,0,1,263.0,False,False,True,False,False,False,False,False,False,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8542,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,2,0,1,0,61.175,False,False,False,False,True,False,False,False,False,False,False,True,1
False,False,True,False,False,False,False,False,True,4,0,1,0,20.575,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.25,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,1,1,0,0,34.6542,True,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,True,False,False,2,0,1,0,63.3583,False,False,False,True,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,True,False,2,0,1,0,23.0,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,True,False,2,0,1,0,26.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,2,0,1,0,77.2875,False,False,False,True,False,False,False,False,False,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.6542,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,3,0,1,0,7.925,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,1,1,0,0,7.65,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.775,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,2,0,1,0,24.15,False,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,False,False,True,False,False,1,1,0,0,52.0,False,False,True,False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,True,2,0,1,0,14.4542,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,2,0,1,0,9.825,False,False,False,False,False,False,False,False,True,False,False,True,0
False,True,False,False,False,False,False,False,True,1,1,0,0,14.4583,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,True,False,False,False,False,False,True,1,1,0,0,7.925,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.75,False,False,False,False,False,False,False,False,True,False,True,False,1
False,False,True,False,False,False,False,True,False,2,0,1,0,21.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,2,0,1,0,247.5208,False,True,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,True,7,0,0,1,31.275,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,True,False,3,0,1,0,73.5,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,8.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,True,False,2,0,1,0,30.0708,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,False,False,False,False,False,True,False,1,1,0,0,13.0,False,False,False,False,True,False,False,False,False,False,False,True,0
False,False,True,False,False,False,True,False,False,2,0,1,0,77.2875,False,False,False,True,False,False,False,False,False,False,False,True,1
True,False,False,False,False,False,False,False,True,2,0,1,0,11.2417,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.75,False,False,False,False,False,False,False,False,True,False,True,False,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.1417,False,False,False,False,False,False,False,False,True,False,False,True,1
False,True,False,False,False,False,False,False,True,3,0,1,0,22.3583,False,False,False,False,False,True,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,True,1,1,0,0,6.975,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.8958,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,True,False,False,False,False,False,True,1,1,0,0,7.05,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,False,True,False,False,False,False,True,2,0,1,0,14.5,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,False,True,False,False,False,True,False,2,0,1,0,26.0,False,False,False,False,False,False,False,False,True,False,False,True,0
False,False,True,False,False,False,False,True,False,1,1,0,0,13.0,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,True,False,1,1,0,0,15.0458,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,False,False,False,False,True,False,False,3,0,1,0,26.2833,False,False,False,True,False,False,False,False,False,False,False,True,0
False,False,True,False,False,False,True,False,False,2,0,1,0,53.1,False,False,True,False,False,False,False,False,False,False,False,True,1
False,False,True,False,False,False,False,False,True,1,1,0,0,9.2167,False,False,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,True,False,False,1,1,0,0,79.2,False,True,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,True,3,0,1,0,15.2458,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,False,False,False,False,True,1,1,0,0,7.75,False,False,False,False,False,False,False,False,True,False,False,True,0
